,Open
0,19.0
1,25.790001
2,25.0
3,23.0
4,20.0
5,16.4
6,16.139999
7,17.58
8,17.950001
9,17.389999
10,17.940001000000002
11,19.940001000000002
12,20.700001
13,21.370001000000002
14,21.85
15,20.66
16,20.5
17,21.190001000000002
18,21.5
19,20.91
20,20.549999
21,20.77
22,20.200001
23,20.5
24,21.0
25,21.950001
26,21.540001
27,20.1
28,19.9
29,19.65
30,18.690001000000002
31,17.799999
32,18.18
33,18.450001
34,18.959999
35,19.59
36,18.540001
37,18.65
38,19.09
39,19.25
40,19.16
41,19.889999
42,19.75
43,19.700001
44,19.66
45,19.620001000000002
46,20.370001000000002
47,20.870001000000002
48,20.610001
49,20.66
50,21.0
51,20.75
52,20.889999
53,20.540001
54,20.98
55,22.15
56,21.02
57,20.67
58,20.889999
59,20.870001000000002
60,19.889999
61,19.950001
62,20.4
63,21.040001
64,21.190001000000002
65,22.0
66,20.690001000000002
67,20.43
68,21.15
69,21.059998999999998
70,20.57
71,20.43
72,20.440001000000002
73,20.200001
74,20.639999
75,21.0
76,20.889999
77,20.52
78,20.200001
79,20.16
80,20.610001
81,20.68
82,20.940001000000002
83,20.799999
84,21.25
85,21.389999
86,21.139999
87,21.940001000000002
88,21.68
89,21.280001000000002
90,22.6
91,24.870001000000002
92,24.5
93,25.0
94,24.48
95,28.6
96,28.25
97,30.219998999999998
98,31.0
99,30.200001
100,30.67
101,30.16
102,31.57
103,33.290001000000004
104,35.27
105,35.599998
106,35.41
107,33.740002000000004
108,35.869999
109,34.009997999999996
110,32.009997999999996
111,31.35
112,30.49
113,32.48
114,32.509997999999996
115,32.049999
116,31.639999
117,30.290001
118,28.67
119,30.0
120,31.34
121,31.639999
122,31.799999
123,32.25
124,31.26
125,28.02
126,25.85
127,27.030001000000002
128,27.700001
129,26.57
130,26.84
131,26.66
132,26.48
133,26.83
134,28.0
135,28.17
136,28.59
137,27.01
138,26.959999
139,26.15
140,25.48
141,25.27
142,24.030001000000002
143,23.120001000000002
144,23.530001000000002
145,24.65
146,24.709999
147,24.74
148,24.879998999999998
149,24.049999
150,24.309998999999998
151,24.16
152,23.82
153,23.440001000000002
154,23.26
155,23.780001000000002
156,24.129998999999998
157,23.26
158,23.25
159,23.639999
160,23.01
161,23.1
162,24.629998999999998
163,23.33
164,22.879998999999998
165,22.18
166,21.780001000000002
167,22.809998999999998
168,23.74
169,24.049999
170,23.82
171,24.48
172,24.48
173,24.93
174,24.6
175,24.66
176,24.440001000000002
177,23.85
178,23.82
179,22.200001
180,22.860001
181,23.24
182,23.190001000000002
183,23.049999
184,22.73
185,22.110001
186,22.139999
187,22.43
188,22.700001
189,23.299999
190,24.110001
191,26.549999
192,27.450001
193,26.83
194,25.9
195,26.99
196,26.85
197,27.58
198,26.469998999999998
199,25.08
200,25.129998999999998
201,24.870001000000002
202,25.65
203,25.129998999999998
204,25.26
205,25.700001
206,25.85
207,26.700001
208,26.66
209,26.93
210,27.07
211,27.690001000000002
212,27.6
213,27.379998999999998
214,26.780001000000002
215,27.200001
216,26.9
217,27.0
218,28.24
219,28.200001
220,27.07
221,28.0
222,27.99
223,27.0
224,26.1
225,27.030001000000002
226,28.26
227,27.620001000000002
228,27.02
229,26.9
230,28.82
231,29.540001
232,29.690001000000002
233,30.0
234,28.52
235,29.950001
236,30.1
237,28.940001000000002
238,28.440001000000002
239,27.43
240,27.52
241,28.07
242,28.540001
243,28.440001000000002
244,27.67
245,26.870001000000002
246,26.290001
247,26.24
248,27.370001000000002
249,27.200001
250,27.639999
251,27.73
252,27.790001
253,28.5
254,28.5
255,29.07
256,29.02
257,29.139999
258,29.139999
259,29.889999
260,28.4
261,28.370001000000002
262,28.43
263,28.530001000000002
264,27.790001
265,27.34
266,27.58
267,28.0
268,28.91
269,28.700001
270,29.01
271,28.309998999999998
272,28.5
273,27.6
274,27.799999
275,28.67
276,28.690001000000002
277,27.5
278,26.51
279,24.99
280,23.1
281,24.15
282,25.440001000000002
283,24.040001
284,25.6
285,26.620001000000002
286,26.129998999999998
287,26.389999
288,25.0
289,23.860001
290,23.110001
291,21.93
292,23.1
293,23.870001000000002
294,22.709999
295,24.219998999999998
296,24.5
297,24.799999
298,24.66
299,23.66
300,22.5
301,23.389999
302,23.58
303,23.370001000000002
304,22.5
305,23.01
306,24.25
307,24.58
308,24.780001000000002
309,24.950001
310,25.98
311,25.950001
312,25.639999
313,25.49
314,26.52
315,26.0
316,26.0
317,25.719998999999998
318,24.799999
319,24.950001
320,23.290001
321,24.030001000000002
322,25.370001000000002
323,26.98
324,27.309998999999998
325,27.51
326,27.25
327,27.629998999999998
328,28.0
329,27.860001
330,27.299999
331,28.02
332,27.440001000000002
333,27.4
334,27.870001000000002
335,28.23
336,28.190001000000002
337,28.34
338,28.5
339,29.5
340,28.389999
341,29.0
342,30.0
343,31.459999
344,31.639999
345,31.370001000000002
346,30.870001000000002
347,30.940001000000002
348,31.9
349,33.0
350,32.919998
351,33.48
352,34.5
353,33.639998999999996
354,32.439999
355,31.76
356,31.76
357,31.549999
358,32.0
359,32.490002000000004
360,32.5
361,32.57
362,32.830002
363,33.529999
364,34.200001
365,34.630001
366,30.84
367,30.540001
368,30.440001000000002
369,30.57
370,29.5
371,28.67
372,28.790001
373,28.09
374,28.049999
375,27.91
376,27.6
377,28.0
378,27.66
379,28.99
380,28.59
381,28.49
382,28.940001000000002
383,28.209999
384,27.76
385,27.200001
386,27.0
387,27.440001000000002
388,27.620001000000002
389,28.48
390,28.4
391,26.620001000000002
392,26.690001000000002
393,27.190001000000002
394,26.9
395,26.809998999999998
396,26.629998999999998
397,27.27
398,28.07
399,28.5
400,29.49
401,29.9
402,29.07
403,29.719998999999998
404,30.41
405,31.1
406,31.799999
407,31.6
408,32.0
409,32.259997999999996
410,31.549999
411,31.74
412,33.099998
413,33.5
414,33.990002000000004
415,34.869999
416,34.5
417,33.990002000000004
418,34.23
419,33.41
420,33.639998999999996
421,33.810001
422,33.509997999999996
423,34.400002
424,34.349998
425,33.25
426,33.119999
427,33.110001000000004
428,33.200001
429,34.689999
430,36.509997999999996
431,36.0
432,35.279999
433,34.900002
434,35.259997999999996
435,34.98
436,34.939999
437,34.970001
438,34.259997999999996
439,35.59
440,37.16
441,37.779999
442,38.189999
443,37.52
444,37.330002
445,36.700001
446,35.27
447,35.099998
448,34.099998
449,33.150002
450,33.240002000000004
451,33.77
452,33.939999
453,33.41
454,32.43
455,32.09
456,32.75
457,33.139998999999996
458,32.860001000000004
459,31.82
460,32.07
461,32.959998999999996
462,33.599998
463,33.27
464,33.130001
465,33.5
466,33.91
467,32.32
468,31.959999
469,32.5
470,30.299999
471,32.970001
472,32.490002000000004
473,31.92
474,30.26
475,29.58
476,29.299999
477,28.370001000000002
478,27.58
479,30.1
480,30.559998999999998
481,31.25
482,30.16
483,30.01
484,31.08
485,30.07
486,28.530001000000002
487,28.030001000000002
488,27.84
489,28.200001
490,29.809998999999998
491,28.860001
492,30.309998999999998
493,29.23
494,29.549999
495,30.18
496,29.389999
497,29.940001000000002
498,32.02
499,33.5
500,34.259997999999996
501,32.599998
502,33.939999
503,32.049999
504,31.9
505,31.9
506,32.799999
507,31.35
508,30.6
509,30.809998999999998
510,30.99
511,30.940001000000002
512,31.540001
513,31.57
514,31.290001
515,32.970001
516,34.32
517,35.0
518,31.42
519,32.720001
520,32.07
521,31.049999
522,30.66
523,29.92
524,29.9
525,28.709999
526,29.51
527,27.540001
528,27.99
529,26.84
530,26.9
531,27.549999
532,28.77
533,29.9
534,29.52
535,29.309998999999998
536,29.690001000000002
537,30.75
538,29.389999
